name	ncbi_taxid
Hydrocarboniphaga	NCBITaxon:243627
Thermomonosporaceae	NCBITaxon:2012
Syntrophaceae	NCBITaxon:213468
Desulfuromonas	NCBITaxon:890
Acidobacteria_Gp15	null
Gp15	null
Pseudonocardia	NCBITaxon:1847
Caldilineae	NCBITaxon:475962
Caldilineales	NCBITaxon:475963
Caldilineaceae	NCBITaxon:475964
Caldilinea	NCBITaxon:233191
Inquilinus	NCBITaxon:171673
Aurantimonadaceae	NCBITaxon:255475
Aurantimonas	NCBITaxon:182269
Anaerolinea	NCBITaxon:233189
Streptosporangiaceae	NCBITaxon:2004
Clostridium III	null
Methylococcales	NCBITaxon:135618
Methylococcaceae	NCBITaxon:403
Armatimonadia	NCBITaxon:1042312
Armatimonadales	NCBITaxon:1042313
Armatimonadaceae	NCBITaxon:1042314
Armatimonas/Armatimonadetes_gp1	null
Cystobacteraceae	NCBITaxon:39
TM7	null
TM7_genera_incertae_sedis	null
Acidobacteria_Gp16	null
Gp16	null
Leptolinea	NCBITaxon:475966
Methylomonas	NCBITaxon:416
Rhodoblastus	NCBITaxon:168658
Alicyclobacillus	NCBITaxon:29330
Devosia	NCBITaxon:46913
Xanthobacteraceae	NCBITaxon:335928
Acidovorax	NCBITaxon:12916
Dokdonella	NCBITaxon:323413
Emticicia	NCBITaxon:312278
Castellaniella	NCBITaxon:359336
Skermanella	NCBITaxon:204447
Pseudolabrys	NCBITaxon:556257
Chitinophaga	NCBITaxon:79328
Thermodesulfobacteria	null
Thermodesulfobacteriales	NCBITaxon:188710
Thermodesulfobacteriaceae	NCBITaxon:188711
Thermodesulfobacterium	NCBITaxon:1740
Novosphingobium	NCBITaxon:165696
Thiotrichales	NCBITaxon:72273
Thiotrichales_incertae_sedis	null
Caedibacter	NCBITaxon:28905
Campylobacteraceae	NCBITaxon:72294
Arcobacter	NCBITaxon:28196
Nitriliruptorales	NCBITaxon:596497
Nitriliruptoraceae	NCBITaxon:596498
Nitriliruptor	NCBITaxon:596499
Desulfobacterium	NCBITaxon:2295
Chitinimonas	NCBITaxon:240411
Flammeovirgaceae	NCBITaxon:200667
Deinococcales	NCBITaxon:118964
Deinococcaceae	NCBITaxon:183710
Deinococcus	NCBITaxon:1298
Prosthecobacter	NCBITaxon:48463
Cellvibrio	NCBITaxon:10
Roseococcus	NCBITaxon:35812
Pasteuriaceae	NCBITaxon:538998
Pasteuria	NCBITaxon:86004
Acidisoma	NCBITaxon:512381
Acidobacteria_Gp5	null
Gp5	null
Brucellaceae	NCBITaxon:118882
Phycicoccus	NCBITaxon:367298
Terrimonas	NCBITaxon:296051
Gammaproteobacteria_incertae_sedis	null
Thioprofundum	NCBITaxon:665868
Byssovorax	NCBITaxon:224459
Desulfobulbus	NCBITaxon:893
Terriglobus	NCBITaxon:392733
Rhodanobacter	NCBITaxon:75309
Elioraea	NCBITaxon:457933
Geodermatophilus	NCBITaxon:1860
Cyclobacteriaceae	NCBITaxon:563798
Algoriphagus	NCBITaxon:246875
Blastococcus	NCBITaxon:38501
Rhodoplanes	NCBITaxon:29407
Hydrogenophaga	NCBITaxon:47420
Nocardiopsaceae	NCBITaxon:83676
Nocardiopsis	NCBITaxon:2013
Thermotogae	null
Thermotogales	NCBITaxon:2419
Thermotogaceae	NCBITaxon:188709
Thermotoga	NCBITaxon:2335
Gemmata	NCBITaxon:113
Terrabacter	NCBITaxon:53355
Methylococcus	NCBITaxon:413
Helicobacteraceae	NCBITaxon:72293
Wolinella	NCBITaxon:843
Telmatospirillum	NCBITaxon:382513
Natranaerobiales	NCBITaxon:485256
Natranaerobiaceae	NCBITaxon:485255
Dethiobacter	NCBITaxon:427925
Sulfuritalea	NCBITaxon:1054211
Rhodobacter	NCBITaxon:1060
Actinospicaceae	NCBITaxon:414713
Actinospica	NCBITaxon:414715
Spirochaetes	NCBITaxon:203691
Spirochaetales	NCBITaxon:136
Leptospiraceae	NCBITaxon:170
Turneriella	NCBITaxon:338321
Chlamydiae	NCBITaxon:204428
Chlamydiales	NCBITaxon:51291
Parachlamydiaceae	NCBITaxon:92713
Syntrophomonas	NCBITaxon:862
Deefgea	NCBITaxon:400947
Rhodopseudomonas	NCBITaxon:1073
Chromatiales	NCBITaxon:135613
Chromatiaceae	NCBITaxon:1046
Rheinheimera	NCBITaxon:67575
Syntrophobotulus	NCBITaxon:51196
Desulfosarcina	NCBITaxon:2299
Peptostreptococcaceae	NCBITaxon:186804
Proteocatella	NCBITaxon:181069
Porphyromonadaceae	NCBITaxon:171551
Paludibacter	NCBITaxon:346096
Polaromonas	NCBITaxon:52972
Alishewanella	NCBITaxon:111142
Delftia	NCBITaxon:80865
Smithella	NCBITaxon:182623
Zoogloea	NCBITaxon:349
Syntrophorhabdaceae	NCBITaxon:513556
Syntrophorhabdus	NCBITaxon:513557
Anaeromyxobacter	NCBITaxon:161492
Aquimonas	NCBITaxon:265718
Pelotomaculum	NCBITaxon:191373
Caldiserica	NCBITaxon:67814
Caldisericia	NCBITaxon:693071
Caldisericales	NCBITaxon:693072
Caldisericaceae	NCBITaxon:693073
Caldisericum	NCBITaxon:693074
Rudaea	NCBITaxon:886360
Craurococcus	NCBITaxon:77583
Sinomonas	NCBITaxon:596707
Dongia	NCBITaxon:1146845
Actinophytocola	NCBITaxon:695999
Enhygromyxa	NCBITaxon:215802
Paenibacillaceae 2	null
Ammoniphilus	NCBITaxon:66862
Ferribacterium	NCBITaxon:88875
Coxiella	null
Petrimonas	NCBITaxon:307628
Methylophilales	NCBITaxon:206350
Methylophilaceae	NCBITaxon:32011
Methylobacillus	NCBITaxon:404
Luteimonas	NCBITaxon:83614
Aminobacter	NCBITaxon:31988
Ktedonobacteria	NCBITaxon:388447
Aquificae	null
Aquificales	NCBITaxon:32069
Hydrogenothermaceae	NCBITaxon:224027
Persephonella	NCBITaxon:182899
Shinella	NCBITaxon:323620
Pedomicrobium	NCBITaxon:47494
Sediminibacter	NCBITaxon:379072
Rubellimicrobium	NCBITaxon:295418
Nocardia	NCBITaxon:1817
Sulfuricurvum	NCBITaxon:286130
Anaerospora	NCBITaxon:244825
Aeromonadales	NCBITaxon:135624
Aeromonadaceae	NCBITaxon:84642
Aeromonas	NCBITaxon:642
Sinobacter	null
Syntrophus	null
Desulfomonile	NCBITaxon:2357
Cellulomonadaceae	NCBITaxon:85016
Cellulomonas	NCBITaxon:1707
Actinoplanes	NCBITaxon:1865
Parabacteroides	NCBITaxon:375288
Acidobacteria_Gp12	null
Gp12	null
Bacteroidaceae	NCBITaxon:815
Bacteroides	NCBITaxon:816
Saprospiraceae	NCBITaxon:89374
Haliscomenobacter	NCBITaxon:2349
Peredibacter	NCBITaxon:263370
Bosea	null
Acidobacteria_Gp11	null
Gp11	null
Rickettsiales	NCBITaxon:766
Rickettsiaceae	NCBITaxon:775
Rickettsia	NCBITaxon:780
Longilinea	NCBITaxon:475961
Roseburia	NCBITaxon:841
Cyanobacteria/Chloroplast	null
Cyanobacteria	NCBITaxon:1117
Cupriavidus	NCBITaxon:106589
Magnetospirillum	NCBITaxon:13134
Georgfuchsia	NCBITaxon:690621
Thermomicrobia	NCBITaxon:189775
Sphaerobacterales	NCBITaxon:85001
Sphaerobacteraceae	NCBITaxon:85002
Sphaerobacter	NCBITaxon:2056
Eubacteriaceae	NCBITaxon:186806
Acetobacterium	NCBITaxon:33951
Labrys	NCBITaxon:204476
Chromobacterium	NCBITaxon:535
Naxibacter	null
Clostridiaceae 2	null
Alkaliphilus	NCBITaxon:114627
Halothiobacillaceae	NCBITaxon:255526
Thiovirga	NCBITaxon:307586
Clostridiales_Incertae Sedis XIII	null
Anaerovorax	NCBITaxon:109326
Lentisphaerae	NCBITaxon:256845
Lentisphaeria	NCBITaxon:1313211
Victivallales	NCBITaxon:278082
Victivallaceae	NCBITaxon:255528
Victivallis	NCBITaxon:172900
Sulfuricella	NCBITaxon:935200
Blastopirellula	NCBITaxon:265487
Burkholderiales_incertae_sedis	null
Aquabacterium	NCBITaxon:92793
Silanimonas	NCBITaxon:292713
Rugosimonospora	NCBITaxon:1198243
Herbaspirillum	NCBITaxon:963
Family I	null
GpI	null
Undibacterium	NCBITaxon:401469
Micromonospora	NCBITaxon:1873
Paludibacterium	NCBITaxon:400060
Runella	NCBITaxon:105
Acidaminococcaceae	NCBITaxon:909930
Thermomicrobiales	NCBITaxon:189776
Thermomicrobiaceae	NCBITaxon:189777
Thermomicrobium	NCBITaxon:499
Albidiferax	null
Acidobacteria_Gp22	null
Gp22	null
Planococcaceae	NCBITaxon:186818
Sporosarcina	NCBITaxon:1569
Oxalicibacterium	NCBITaxon:223927
Sulfurihydrogenibium	NCBITaxon:212790
Sporichthyaceae	NCBITaxon:85033
Sporichthya	NCBITaxon:35750
Sphaerotilus	NCBITaxon:34102
Hydrotalea	NCBITaxon:1004300
Desulfosporosinus	NCBITaxon:79206
Myxococcaceae	NCBITaxon:31
Acidocella	NCBITaxon:50709
Corallococcus	NCBITaxon:83461
Propionivibrio	NCBITaxon:83766
Trueperaceae	NCBITaxon:332247
Truepera	NCBITaxon:332248
Amycolatopsis	NCBITaxon:1813
Sulfurimonas	NCBITaxon:202746
Bacillaceae 2	null
Virgibacillus	NCBITaxon:84406
Nitrosospira	NCBITaxon:35798
Niastella	NCBITaxon:354354
Parasegetibacter	NCBITaxon:1004302
Alterococcus	NCBITaxon:78553
Acidobacteria_Gp21	null
Gp21	null
Acidithiobacillales	NCBITaxon:225057
Acidithiobacillaceae	NCBITaxon:225058
Acidithiobacillus	NCBITaxon:119977
Asanoa	NCBITaxon:195964
Methylovirgula	NCBITaxon:1156568
Luteibacter	NCBITaxon:242605
Cystobacter	NCBITaxon:42
Rhodocista	NCBITaxon:34023
Epilithonimonas	NCBITaxon:358033
Geminicoccus	NCBITaxon:489140
Xanthobacter	NCBITaxon:279
BRC1	null
BRC1_genera_incertae_sedis	null
Pandoraea	NCBITaxon:93217
Iamiaceae	NCBITaxon:633392
Iamia	NCBITaxon:467975
Acidobacteria_Gp23	null
Gp23	null
Porphyromonas	NCBITaxon:836
Fibrobacteres	NCBITaxon:65842
Fibrobacteria	NCBITaxon:204430
Fibrobacterales	NCBITaxon:218872
Fibrobacteraceae	NCBITaxon:204431
Fibrobacter	NCBITaxon:832
Streptosporangium	NCBITaxon:2000
Pusillimonas	NCBITaxon:305976
Meniscus	NCBITaxon:200677
Syntrophothermus	NCBITaxon:129001
Methylosarcina	NCBITaxon:160800
Kaistia	NCBITaxon:166953
Saccharofermentans	NCBITaxon:1200657
Stella	NCBITaxon:93
Dehalococcoidetes	null
Dehalogenimonas	NCBITaxon:670486
Solimonas	NCBITaxon:413435
Clostridiales_Incertae Sedis XVII	null
Thermaerobacter	NCBITaxon:73918
Geobacillus	NCBITaxon:129337
Sandarakinorhabdus	NCBITaxon:362865
Rhodovulum	NCBITaxon:34008
Lewinella	NCBITaxon:70994
Gracilibacteraceae	NCBITaxon:541019
Gracilibacter	NCBITaxon:342658
Schlesneria	NCBITaxon:656899
Janthinobacterium	NCBITaxon:29580
Desulfomicrobiaceae	NCBITaxon:213116
Desulfomicrobium	NCBITaxon:898
Larkinella	NCBITaxon:332157
Herminiimonas	NCBITaxon:303379
Niabella	NCBITaxon:379899
Yersinia	null
Chrysiogenetes	null
Chrysiogenales	NCBITaxon:189769
Chrysiogenaceae	NCBITaxon:189770
Desulfurispirillum	NCBITaxon:393029
Neochlamydia	NCBITaxon:112987
Simplicispira	NCBITaxon:352450
Campylobacter	NCBITaxon:194
Rummeliibacillus	NCBITaxon:648802
Dictyoglomi	NCBITaxon:68297
Dictyoglomia	NCBITaxon:203486
Dictyoglomales	NCBITaxon:203487
Dictyoglomaceae	NCBITaxon:203488
Dictyoglomus	NCBITaxon:13
Clostridiales_Incertae Sedis XII	null
Acidaminobacter	NCBITaxon:65402
Clostridium IV	null
Synergistetes	NCBITaxon:508458
Synergistia	NCBITaxon:649775
Synergistales	NCBITaxon:649776
Synergistaceae	NCBITaxon:649777
Cloacibacillus	NCBITaxon:508459
Oxobacter	NCBITaxon:44261
