process	person	campaign	protocol	date_start	date_end	input_objects	output_objects	
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: FW126-7-25-12	Community: FW126-7-25-12 0.2 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: GW127-16-11-26-12	Community: GW127-16-11-26-12 10 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: FW126-7-25-12	Community: FW126-7-25-12 10 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: GW101-11-13-12	Community: GW101-11-13-12 10 micron filter B
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: FW215-84-11-27-12	Community: FW215-84-11-27-12 0.2 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: GW101-7-26-12	Community: GW101-7-26-12 0.2 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: FW215-84-11-27-12	Community: FW215-84-11-27-12 10 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: FW233-17-2-99-11-28-12	Community: FW233-17-2-99-11-28-12 0.2 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: FW511-61-11-26-12	Community: FW511-61-11-26-12 10 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: FW233-17-2-99-11-28-12	Community: FW233-17-2-99-11-28-12 10 micron filter
