process	person	campaign	protocol	date_start	date_end	input_objects	output_objects	
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-27	2012-11-27	Well: DP16D	Sample: DP16D-67-11-27-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-27	2012-11-27	Well: FW-021	Sample: FW021-46-11-27-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-27	2012-11-27	Well: FW-215	Sample: FW215-84-11-27-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-27	2012-11-27	Well: FW-215	Sample: FW215-84-11-27-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-27	2012-11-27	Well: GW-345	Sample: GW345-51-11-27-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-27	2012-11-27	Well: GW-345	Sample: GW345-51-11-27-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-27	2012-11-27	Well: GW-346	Sample: GW346-47-11-27-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-27	2012-11-27	Well: GW-346	Sample: GW346-47-11-27-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-27	2012-11-27	Well: GW-526	Sample: GW526-15-11-27-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-27	2012-11-27	Well: GW-526	Sample: GW526-15-11-27-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-28	2012-11-28	Well: FW-233-17	Sample: FW233-17-2-99-11-28-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-28	2012-11-28	Well: FW-233-17	Sample: FW233-17-2-99-11-28-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-28	2012-11-28	Well: FW-602-26	Sample: FW602-2-26-2-11-28-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-28	2012-11-28	Well: FW-602-26	Sample: FW602-2-26-2-11-28-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-28	2012-11-28	Well: GW-084	Sample: GW084-56-11-28-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-28	2012-11-28	Well: GW-084	Sample: GW084-56-11-28-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-28	2012-11-28	Well: GW-531	Sample: GW531-83-11-28-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-28	2012-11-28	Well: GW-531	Sample: GW531-83-11-28-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-28	2012-11-28	Well: GW-533	Sample: GW533-48-11-28-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-28	2012-11-28	Well: GW-533	Sample: GW533-48-11-28-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-28	2012-11-28	Well: TPB16	Sample: TPB16-81-11-28-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-28	2012-11-28	Well: TPB16	Sample: TPB16-81-11-28-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-03	2012-12-03	Well: FW-603	Sample: FW603-55-12-3-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-03	2012-12-03	Well: FW-603	Sample: FW603-55-12-3-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-03	2012-12-03	Well: GW-085	Sample: GW085-58-12-3-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-03	2012-12-03	Well: GW-085	Sample: GW085-58-12-3-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-03	2012-12-03	Well: GW-086	Sample: GW086-25-12-3-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-03	2012-12-03	Well: GW-086	Sample: GW086-25-12-3-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-03	2012-12-03	Well: GW-694	Sample: GW694-33-12-3-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-03	2012-12-03	Well: GW-694	Sample: GW694-33-12-3-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-03	2012-12-03	Well: GW-736	Sample: GW736-14-12-3-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-03	2012-12-03	Well: GW-736	Sample: GW736-14-12-3-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-11	2012-12-11	Well: GW-105	Sample: GW105-12-11-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-11	2012-12-11	Well: GW-105	Sample: GW105-12-11-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-11	2012-12-11	Well: GW-107	Sample: GW107-91-12-11-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-11	2012-12-11	Well: GW-107	Sample: GW107-91-12-11-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-11	2012-12-11	Well: GW-190	Sample: GW190-22-12-11-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-11	2012-12-11	Well: GW-190	Sample: GW190-22-12-11-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-11	2012-12-11	Well: GW-631	Sample: GW631-98-12-11-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-11	2012-12-11	Well: GW-631	Sample: GW631-98-12-11-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-11	2012-12-11	Well: PTMW02	Sample: PTMW02-4-12-11-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-11	2012-12-11	Well: PTMW02	Sample: PTMW02-4-12-11-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-12	2012-12-12	Well: GW-151	Sample: GW151-12-12-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-12	2012-12-12	Well: GW-151	Sample: GW151-12-12-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-12	2012-12-12	Well: GW-220	Sample: GW220-50-12-12-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-12	2012-12-12	Well: GW-704	Sample: GW704-5-12-17-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-12	2012-12-12	Well: GW-704	Sample: GW704-5-12-17-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-12	2012-12-12	Well: GW-737	Sample: GW737-12-12-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-12	2012-12-12	Well: GW-737	Sample: GW737-12-12-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-12	2012-12-12	Well: GW-750	Sample: GW750-28-12-12-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-12	2012-12-12	Well: GW-750	Sample: GW750-28-12-12-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-12	2012-12-12	Well: GW-800	Sample: GW800-12-12-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-17	2012-12-17	Well: GW-148	Sample: GW148-12-17-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-17	2012-12-17	Well: GW-148	Sample: GW148-12-17-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-17	2012-12-17	Well: GW-383	Sample: GW383-12-17-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-17	2012-12-17	Well: GW-383	Sample: GW383-12-17-12 timepoint 2
