name	read_count	read_type	sequencing_technology	link
GW283_43_1_29_13_10.reads	56106	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW283_43_1_29_13_10.reads
GW314_97_2_19_13_02.reads	146673	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW314_97_2_19_13_02.reads
GW314_97_2_19_13_10.reads	128081	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW314_97_2_19_13_10.reads
GW345_51_11_27_12_02.reads	48403	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW345_51_11_27_12_02.reads
GW345_51_11_27_12_10.reads	60426	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW345_51_11_27_12_10.reads
GW346_47_11_27_12_02.reads	93059	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW346_47_11_27_12_02.reads
GW346_47_11_27_12_10.reads	94291	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW346_47_11_27_12_10.reads
GW350_74_2_12_13_02.reads	42863	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW350_74_2_12_13_02.reads
GW350_74_2_12_13_10.reads	41166	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW350_74_2_12_13_10.reads
GW363_94_1_22_13_02.reads	62237	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW363_94_1_22_13_02.reads
GW363_94_1_22_13_10.reads	91133	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW363_94_1_22_13_10.reads
GW383_12_17_12_02.reads	60744	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW383_12_17_12_02.reads
GW383_12_17_12_10.reads	43541	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW383_12_17_12_10.reads
