process	person	campaign	protocol	date_start	date_end	input_objects	output_objects	
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW510_26_11_26_12_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW510_26_11_26_12_10.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW511_61_11_26_12_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW511_61_11_26_12_10.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW511_7_26_13_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW511_7_26_13_3.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW602_2_26_2_11_28_12_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW602_2_26_2_11_28_12_10_b.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW603_55_12_3_12_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW603_55_12_3_12_10.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW056_87_1_8_13_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW056_87_1_8_13_10.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW057_10_1_8_13_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: GW057_10_1_8_13_10.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
