process	person	campaign	protocol	date_start	date_end	input_objects	output_objects	
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-27	2012-11-27	Sample: GW526-15-11-27-12 timepoint 2	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-28	2012-11-28	Sample: FW233-17-2-99-11-28-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-28	2012-11-28	Sample: FW233-17-2-99-11-28-12 timepoint 2	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-28	2012-11-28	Sample: FW602-2-26-2-11-28-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-28	2012-11-28	Sample: FW602-2-26-2-11-28-12 timepoint 2	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-28	2012-11-28	Sample: GW084-56-11-28-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-28	2012-11-28	Sample: GW084-56-11-28-12 timepoint 2	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-28	2012-11-28	Sample: GW531-83-11-28-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-28	2012-11-28	Sample: GW531-83-11-28-12 timepoint 2	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-28	2012-11-28	Sample: GW533-48-11-28-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-28	2012-11-28	Sample: GW533-48-11-28-12 timepoint 2	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-28	2012-11-28	Sample: TPB16-81-11-28-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-28	2012-11-28	Sample: TPB16-81-11-28-12 timepoint 2	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-03	2012-12-03	Sample: FW603-55-12-3-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-03	2012-12-03	Sample: FW603-55-12-3-12 timepoint 2	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-03	2012-12-03	Sample: GW085-58-12-3-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-03	2012-12-03	Sample: GW085-58-12-3-12 timepoint 2	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-03	2012-12-03	Sample: GW086-25-12-3-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-03	2012-12-03	Sample: GW086-25-12-3-12 timepoint 2	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-03	2012-12-03	Sample: GW694-33-12-3-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-03	2012-12-03	Sample: GW694-33-12-3-12 timepoint 2	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-12-03	2012-12-03	Sample: GW736-14-12-3-12	Generic: hazen_field_100ws.hndarray
